unique_work_number,progress_date,physical_progress,financial_progress,work_status
MPLADS/UT/2024-2025/0385,2024-06-16,86,72.15,Ongoing
MPLADS/TA/2026-2027/0386,2026-07-28,100,100.0,Completed
MPLADS/UT/2025-2026/0387,2026-03-15,100,100.0,Completed
MPLADS/UT/2024-2025/0388,2024-07-05,79,71.42,Ongoing
MPLADS/TA/2025-2026/0389,2025-10-26,100,100.0,Completed
MPLADS/MA/2024-2025/0390,2024-10-02,100,100.0,Completed
MPLADS/MA/2025-2026/0391,2026-01-17,100,100.0,Completed
MPLADS/MA/2024-2025/0392,2024-05-05,100,100.0,Completed
MPLADS/KA/2024-2025/0393,2024-10-22,100,100.0,Completed
MPLADS/UT/2025-2026/0394,2025-11-19,85,100.48,Ongoing
MPLADS/MA/2025-2026/0395,2025-10-03,100,100.0,Completed
MPLADS/KA/2024-2025/0396,2024-03-17,18,14.85,Ongoing
MPLADS/TA/2026-2027/0397,2027-02-18,13,15.2,Ongoing
MPLADS/KA/2024-2025/0398,2025-03-05,42,41.85,Ongoing
MPLADS/MA/2025-2026/0399,2025-11-11,100,100.0,Completed
MPLADS/MA/2025-2026/0400,2026-01-10,36,37.01,Delayed
MPLADS/KA/2024-2025/0401,2024-06-02,48,40.34,Ongoing
MPLADS/KA/2023-2024/0402,2024-03-02,42,40.16,Ongoing
MPLADS/KA/2024-2025/0403,2024-05-19,100,100.0,Completed
MPLADS/UT/2026-2027/0404,2026-11-02,27,23.81,Delayed
MPLADS/KA/2025-2026/0405,2026-03-15,100,100.0,Completed
MPLADS/MA/2025-2026/0406,2025-12-22,39,31.53,Ongoing
MPLADS/MA/2026-2027/0407,2026-12-01,12,12.25,Ongoing
MPLADS/KA/2023-2024/0408,2024-03-05,100,100.0,Completed
MPLADS/MA/2026-2027/0409,2026-10-21,78,80.12,Ongoing
MPLADS/TA/2024-2025/0410,2024-03-24,100,100.0,Completed
MPLADS/MA/2024-2025/0411,2024-06-02,55,63.75,Ongoing
MPLADS/MA/2024-2025/0412,2024-06-30,41,41.44,Ongoing
MPLADS/KA/2024-2025/0413,2025-01-26,27,30.69,Ongoing
MPLADS/MA/2024-2025/0414,2024-10-23,14,16.68,Ongoing
MPLADS/MA/2024-2025/0415,2024-10-26,20,16.48,Ongoing
MPLADS/MA/2024-2025/0416,2024-06-12,54,63.44,Ongoing
MPLADS/UT/2026-2027/0417,2027-01-06,17,19.09,Delayed
MPLADS/TA/2024-2025/0418,2024-11-20,43,37.2,Ongoing
MPLADS/TA/2026-2027/0419,2027-02-05,79,72.55,Ongoing
MPLADS/MA/2024-2025/0420,2024-07-15,82,87.27,Ongoing
MPLADS/MA/2024-2025/0421,2024-07-15,84,98.74,Ongoing
MPLADS/MA/2024-2025/0422,2024-08-18,100,100.0,Completed
MPLADS/TA/2026-2027/0423,2026-09-25,17,20.07,Ongoing
MPLADS/MA/2026-2027/0424,2026-06-20,66,55.79,Ongoing
MPLADS/MA/2025-2026/0425,2026-01-12,64,73.62,Ongoing
MPLADS/TA/2025-2026/0426,2025-04-30,70,82.39,Ongoing
MPLADS/UT/2025-2026/0427,2025-06-01,37,35.21,Delayed
MPLADS/MA/2025-2026/0428,2025-07-14,38,38.99,Ongoing
MPLADS/MA/2025-2026/0429,2025-12-27,83,76.13,Ongoing
MPLADS/UT/2024-2025/0430,2024-12-12,62,58.57,Delayed
MPLADS/MA/2026-2027/0431,2026-05-21,62,66.32,Ongoing
MPLADS/MA/2024-2025/0432,2024-09-27,74,88.3,Ongoing
MPLADS/MA/2024-2025/0433,2024-12-22,100,100.0,Completed
MPLADS/KA/2026-2027/0434,2026-06-30,59,68.54,Ongoing
MPLADS/MA/2026-2027/0435,2026-08-21,53,54.94,Ongoing
MPLADS/UT/2026-2027/0436,2026-06-18,90,88.19,Delayed
MPLADS/KA/2024-2025/0437,2024-10-12,100,100.0,Completed
MPLADS/TA/2023-2024/0438,2024-03-12,77,79.46,Ongoing
MPLADS/KA/2024-2025/0439,2025-02-13,36,35.0,Ongoing
MPLADS/TA/2025-2026/0440,2025-08-21,100,100.0,Completed
MPLADS/MA/2025-2026/0441,2025-10-07,15,17.76,Ongoing
MPLADS/UT/2025-2026/0442,2025-08-18,47,54.86,Delayed
MPLADS/UT/2025-2026/0443,2026-04-12,19,17.69,Ongoing
MPLADS/UT/2025-2026/0444,2025-07-25,100,100.0,Completed
MPLADS/KA/2024-2025/0445,2024-10-02,58,66.63,Ongoing
MPLADS/UT/2025-2026/0446,2025-11-02,37,29.65,Ongoing
MPLADS/MA/2025-2026/0447,2025-05-02,100,100.0,Completed
MPLADS/KA/2025-2026/0448,2026-02-04,38,32.11,Ongoing
MPLADS/MA/2026-2027/0449,2027-01-26,100,100.0,Completed
MPLADS/UT/2024-2025/0450,2024-12-01,17,17.42,Ongoing
MPLADS/TA/2024-2025/0451,2024-12-05,53,55.89,Ongoing
MPLADS/MA/2026-2027/0452,2026-11-19,26,27.09,Ongoing
MPLADS/MA/2026-2027/0453,2026-07-16,30,34.06,Ongoing
MPLADS/MA/2026-2027/0454,2026-05-16,100,100.0,Completed
MPLADS/MA/2025-2026/0455,2026-02-12,100,100.0,Completed
MPLADS/TA/2025-2026/0456,2026-02-09,12,9.67,Ongoing
MPLADS/KA/2026-2027/0457,2026-08-12,18,17.7,Delayed
MPLADS/MA/2024-2025/0458,2024-09-27,78,78.21,Ongoing
MPLADS/UT/2026-2027/0459,2026-03-29,100,100.0,Completed
MPLADS/MA/2026-2027/0460,2026-10-05,36,41.25,Delayed
MPLADS/TA/2024-2025/0461,2024-10-12,53,60.09,Ongoing
MPLADS/KA/2026-2027/0462,2026-05-28,50,59.19,Ongoing
MPLADS/TA/2025-2026/0463,2025-07-01,58,49.35,Ongoing
MPLADS/TA/2025-2026/0464,2026-04-15,100,100.0,Completed
MPLADS/MA/2025-2026/0465,2025-05-09,57,58.45,Ongoing
MPLADS/TA/2026-2027/0466,2026-12-20,87,78.34,Ongoing
MPLADS/MA/2024-2025/0467,2024-12-17,70,56.27,Ongoing
MPLADS/MA/2026-2027/0468,2026-03-19,78,76.71,Ongoing
MPLADS/TA/2024-2025/0469,2024-11-19,54,56.78,Ongoing
MPLADS/TA/2025-2026/0470,2025-10-31,89,98.5,Ongoing
MPLADS/MA/2026-2027/0471,2026-06-09,100,100.0,Completed
MPLADS/UT/2026-2027/0472,2026-12-24,36,31.22,Ongoing
MPLADS/KA/2025-2026/0473,2025-12-07,100,100.0,Completed
MPLADS/MA/2024-2025/0474,2024-10-10,76,70.44,Ongoing
MPLADS/KA/2025-2026/0475,2025-11-06,65,68.95,Ongoing
MPLADS/MA/2024-2025/0476,2024-06-08,100,100.0,Completed
MPLADS/MA/2024-2025/0477,2025-04-06,57,66.48,Ongoing
MPLADS/MA/2025-2026/0478,2025-05-18,42,38.21,Delayed
MPLADS/UT/2024-2025/0479,2024-11-04,57,46.26,Ongoing
MPLADS/MA/2024-2025/0480,2024-06-12,79,71.97,Ongoing
MPLADS/UT/2025-2026/0481,2026-02-11,31,36.03,Ongoing
MPLADS/UT/2025-2026/0482,2026-03-04,32,31.28,Ongoing
MPLADS/UT/2024-2025/0483,2025-02-07,21,21.56,Ongoing
MPLADS/UT/2026-2027/0484,2026-07-07,100,100.0,Completed
MPLADS/KA/2026-2027/0485,2026-09-03,34,37.36,Ongoing
MPLADS/KA/2025-2026/0486,2026-02-05,62,55.2,Delayed
MPLADS/KA/2025-2026/0487,2025-11-21,100,100.0,Completed
MPLADS/MA/2025-2026/0488,2025-09-17,65,61.02,Delayed
MPLADS/UT/2026-2027/0489,2027-01-15,14,16.36,Ongoing
MPLADS/MA/2025-2026/0490,2025-08-07,11,9.5,Ongoing
MPLADS/MA/2025-2026/0491,2025-07-01,100,100.0,Completed
MPLADS/MA/2024-2025/0492,2024-11-04,39,43.11,Delayed
MPLADS/KA/2026-2027/0493,2026-12-31,100,100.0,Completed
MPLADS/MA/2025-2026/0494,2025-07-02,32,29.46,Ongoing
MPLADS/KA/2026-2027/0495,2027-01-29,100,100.0,Completed
MPLADS/TA/2024-2025/0496,2025-02-12,22,21.01,Ongoing
MPLADS/TA/2025-2026/0497,2026-01-07,100,100.0,Completed
MPLADS/MA/2026-2027/0498,2026-12-20,39,33.35,Ongoing
MPLADS/MA/2023-2024/0499,2024-03-07,100,100.0,Completed
MPLADS/TA/2026-2027/0500,2026-06-23,23,22.68,Ongoing
MPLADS/UT/2025-2026/0092-DUP,2025-11-02,100,100.0,Completed
MPLADS/KA/2026-2027/0226-DUP,2027-01-23,57,63.41,Ongoing
MPLADS/UT/2026-2027/0036-DUP,2027-01-27,100,100.0,Completed
MPLADS/MA/2024-2025/0252-DUP,2025-02-08,47,52.02,Ongoing
MPLADS/MA/2024-2025/0476-DUP,2024-06-30,100,100.0,Completed
MPLADS/MA/2024-2025/0103-DUP,2024-08-20,41,47.87,Delayed
MPLADS/MA/2025-2026/0313-DUP,2025-06-15,100,100.0,Completed
MPLADS/UT/2025-2026/0202-DUP,2026-05-09,65,77.09,Ongoing
MPLADS/MA/2025-2026/0331-DUP,2026-04-19,16,15.2,Ongoing
MPLADS/TA/2026-2027/0056-DUP,2026-06-11,15,15.63,Ongoing
