unique_work_number,installment_number,amount,release_date,transaction_type
MPLADS/MA/2024-2025/0167,2,767711.33,2025-03-07,Release
MPLADS/UT/2026-2027/0168,1,1310811.04,2026-02-08,Release
MPLADS/UT/2025-2026/0169,1,215960.37,2025-05-01,Release
MPLADS/UT/2025-2026/0169,2,214321.7,2025-10-23,Release
MPLADS/UT/2025-2026/0169,3,194389.61,2026-01-23,Release
MPLADS/TA/2025-2026/0170,1,694737.68,2025-07-02,Release
MPLADS/UT/2026-2027/0171,1,104977.95,2026-05-04,Release
MPLADS/UT/2026-2027/0171,2,124125.11,2026-09-07,Release
MPLADS/TA/2025-2026/0172,1,307264.7,2025-03-24,Release
MPLADS/TA/2025-2026/0172,2,308084.03,2025-09-16,Release
MPLADS/TA/2025-2026/0172,3,434335.97,2025-12-09,Release
MPLADS/MA/2026-2027/0173,1,289403.87,2026-04-15,Release
MPLADS/MA/2026-2027/0173,2,344134.32,2026-08-11,Release
MPLADS/MA/2026-2027/0173,3,263858.45,2026-12-12,Release
MPLADS/KA/2024-2025/0174,1,1693358.73,2024-04-10,Release
MPLADS/MA/2023-2024/0175,1,1046753.16,2023-11-07,Release
MPLADS/MA/2023-2024/0175,2,1238159.15,2024-03-20,Release
MPLADS/UT/2023-2024/0176,1,1000211.77,2023-11-20,Release
MPLADS/UT/2023-2024/0176,2,1137159.57,2024-02-10,Release
MPLADS/MA/2025-2026/0177,1,439348.41,2025-03-07,Release
MPLADS/TA/2025-2026/0178,1,1431895.84,2025-08-14,Release
MPLADS/TA/2025-2026/0178,2,1401379.49,2025-12-31,Release
MPLADS/KA/2024-2025/0179,1,218946.04,2024-05-15,Release
MPLADS/KA/2024-2025/0179,2,187359.23,2024-09-06,Release
MPLADS/UT/2026-2027/0180,1,800013.6,2026-06-10,Release
MPLADS/UT/2026-2027/0180,2,754091.01,2026-08-15,Release
MPLADS/UT/2026-2027/0180,3,596787.37,2026-10-30,Release
MPLADS/TA/2024-2025/0181,1,350669.91,2024-09-22,Release
MPLADS/TA/2024-2025/0181,2,384571.23,2025-02-11,Release
MPLADS/TA/2024-2025/0181,3,313156.31,2025-06-17,Release
MPLADS/MA/2025-2026/0182,1,151835.06,2025-04-15,Release
MPLADS/MA/2025-2026/0182,2,186795.4,2025-10-09,Release
MPLADS/MA/2025-2026/0182,3,148567.93,2026-01-03,Release
MPLADS/MA/2025-2026/0182,4,182169.35,2026-06-22,Release
MPLADS/MA/2025-2026/0183,1,143464.55,2025-01-25,Release
MPLADS/MA/2025-2026/0183,2,174705.08,2025-06-30,Release
MPLADS/KA/2026-2027/0184,1,285106.97,2026-05-10,Release
MPLADS/KA/2026-2027/0184,2,271571.28,2026-09-10,Release
MPLADS/KA/2026-2027/0184,3,286183.26,2026-12-01,Release
MPLADS/KA/2026-2027/0184,4,329209.63,2027-02-08,Release
MPLADS/UT/2026-2027/0185,1,821107.76,2026-02-02,Release
MPLADS/UT/2026-2027/0185,2,662203.55,2026-04-12,Release
MPLADS/UT/2026-2027/0185,3,620937.9,2026-07-23,Release
MPLADS/UT/2025-2026/0186,1,2760241.44,2025-05-10,Release
MPLADS/MA/2025-2026/0187,1,1734980.89,2025-04-28,Release
MPLADS/MA/2025-2026/0187,2,1167028.97,2025-10-15,Release
MPLADS/KA/2026-2027/0188,1,541425.73,2026-06-27,Release
MPLADS/KA/2026-2027/0188,2,444982.68,2026-09-05,Release
MPLADS/KA/2026-2027/0188,3,456420.0,2027-02-10,Release
MPLADS/TA/2023-2024/0189,1,360015.14,2023-03-26 00:00:00,Release
MPLADS/TA/2023-2024/0189,2,272209.98,2023-07-07 00:00:00,Release
MPLADS/TA/2023-2024/0189,3,285134.31,2023-12-10 00:00:00,Release
MPLADS/UT/2025-2026/0190,1,722938.48,2025-08-29,Release
MPLADS/UT/2025-2026/0190,2,514061.53,2025-12-09,Release
MPLADS/KA/2025-2026/0191,1,412359.58,2025-04-19,Release
MPLADS/KA/2025-2026/0191,2,451606.5,2025-07-30,Release
MPLADS/UT/2026-2027/0192,1,362269.78,2026-03-21 00:00:00,Release
MPLADS/UT/2026-2027/0192,2,405126.78,2026-05-28 00:00:00,Release
MPLADS/UT/2026-2027/0192,3,310737.47,2026-08-22 00:00:00,Release
MPLADS/UT/2026-2027/0192,4,313410.89,2026-10-29 00:00:00,Release
MPLADS/UT/2024-2025/0193,1,2076852.83,2024-05-20,Release
MPLADS/UT/2024-2025/0193,2,2017960.76,2024-10-22,Release
MPLADS/UT/2024-2025/0193,3,3221010.3,2025-04-10,Release
MPLADS/TA/2024-2025/0194,1,392329.43,2024-08-14,Release
MPLADS/TA/2024-2025/0194,2,362645.01,2024-12-16,Release
MPLADS/TA/2024-2025/0194,3,246153.93,2025-03-19 00:00:00,Release
MPLADS/UT/2026-2027/0195,1,573266.11,2026-03-08,Release
MPLADS/UT/2026-2027/0195,2,487259.6,2026-08-09,Release
MPLADS/UT/2026-2027/0195,3,687091.49,2027-02-02,Release
MPLADS/UT/2026-2027/0196,1,1813304.93,2026-10-23,Release
MPLADS/UT/2024-2025/0197,1,171754.23,2024-03-29,Release
MPLADS/UT/2024-2025/0197,2,127412.92,2024-08-16,Release
MPLADS/TA/2025-2026/0198,1,714257.43,2025-07-07,Release
MPLADS/TA/2025-2026/0198,2,817693.78,2025-10-16,Release
MPLADS/TA/2025-2026/0198,3,1012637.54,2026-01-10,Release
MPLADS/MA/2024-2025/0199,1,157692.54,2024-03-23 00:00:00,Release
MPLADS/MA/2024-2025/0199,2,194679.23,2024-06-05 00:00:00,Release
MPLADS/MA/2024-2025/0199,3,186587.45,2024-10-28 00:00:00,Release
MPLADS/MA/2025-2026/0200,1,67027.5,2025-11-12,Release
MPLADS/MA/2025-2026/0200,2,67688.63,2026-04-28,Release
MPLADS/MA/2025-2026/0200,3,65782.92,2026-09-12,Release
MPLADS/MA/2025-2026/0200,4,112676.12,2027-01-18,Release
MPLADS/TA/2026-2027/0201,1,356059.45,2026-11-08,Release
MPLADS/UT/2025-2026/0202,1,2745166.49,2026-01-17,Release
MPLADS/MA/2025-2026/0203,1,607387.64,2025-11-30,Release
MPLADS/MA/2023-2024/0204,1,2453374.73,2023-11-20,Release
MPLADS/MA/2024-2025/0205,1,409391.43,2024-09-22,Release
MPLADS/MA/2024-2025/0205,2,318359.94,2025-02-09,Release
MPLADS/MA/2024-2025/0205,3,362747.7,2025-06-18,Release
MPLADS/TA/2024-2025/0206,1,172810.25,2024-08-24,Release
MPLADS/TA/2024-2025/0206,2,188840.55,2024-10-31,Release
MPLADS/KA/2026-2027/0207,1,903860.44,2026-01-09,Release
MPLADS/KA/2026-2027/0208,1,537584.31,2026-06-23,Release
MPLADS/KA/2026-2027/0208,2,619353.65,2026-10-10,Release
MPLADS/KA/2026-2027/0208,3,493311.4,2027-03-07,Release
MPLADS/KA/2026-2027/0208,4,662583.55,2027-08-11,Release
MPLADS/MA/2024-2025/0209,1,726948.26,2024-04-23,Release
MPLADS/MA/2024-2025/0209,2,679121.14,2024-09-11,Release
MPLADS/KA/2024-2025/0210,1,770431.76,2024-11-09,Release
MPLADS/MA/2026-2027/0211,1,785153.51,2026-04-07,Release
MPLADS/MA/2026-2027/0211,2,725875.72,2026-09-08,Release
MPLADS/TA/2025-2026/0212,1,2062360.04,2025-05-20,Release
MPLADS/MA/2023-2024/0213,1,671721.0,2023-12-27,Release
MPLADS/MA/2023-2024/0213,2,663984.82,2024-05-27,Release
MPLADS/MA/2023-2024/0213,3,905019.27,2024-09-30,Release
MPLADS/TA/2024-2025/0214,1,495061.59,2024-07-01,Release
MPLADS/UT/2025-2026/0215,1,318245.82,2025-08-05,Release
MPLADS/MA/2025-2026/0216,1,2143353.52,2025-02-27,Release
MPLADS/KA/2025-2026/0217,1,94363.69,2025-11-22,Release
MPLADS/KA/2025-2026/0217,2,81202.75,2026-04-28,Release
MPLADS/KA/2025-2026/0217,3,106926.59,2026-03-27 00:00:00,Release
MPLADS/UT/2024-2025/0218,1,284542.38,2024-10-17,Release
MPLADS/UT/2024-2025/0218,2,369367.79,2025-01-24,Release
MPLADS/TA/2025-2026/0219,1,63318.82,2025-12-19,Release
MPLADS/TA/2025-2026/0219,2,86102.85,2026-05-21,Release
MPLADS/TA/2025-2026/0219,3,87528.62,2026-11-15,Release
MPLADS/MA/2026-2027/0220,1,220978.63,2026-04-01,Release
MPLADS/MA/2026-2027/0220,2,189456.94,2026-09-27,Release
MPLADS/MA/2026-2027/0220,3,143400.68,2027-01-20,Release
MPLADS/UT/2025-2026/0221,1,274044.94,2025-09-26,Release
MPLADS/UT/2025-2026/0221,2,257618.3,2025-03-26 00:00:00,Release
MPLADS/UT/2025-2026/0221,3,310949.77,2025-03-19 00:00:00,Release
MPLADS/UT/2025-2026/0221,4,306261.91,2025-06-20 00:00:00,Release
MPLADS/KA/2025-2026/0222,1,152050.76,2025-09-21,Release
MPLADS/KA/2024-2025/0223,1,251047.61,2024-07-30,Release
MPLADS/KA/2024-2025/0223,2,328518.54,2024-12-25,Release
MPLADS/KA/2024-2025/0224,1,64746.02,2024-09-23,Release
MPLADS/KA/2024-2025/0224,2,58366.44,2024-12-05,Release
MPLADS/KA/2024-2025/0224,3,42941.55,2025-03-19,Release
MPLADS/MA/2024-2025/0225,1,306047.82,2024-09-07,Release
MPLADS/KA/2026-2027/0226,1,1803576.53,2026-10-06,Release
MPLADS/UT/2026-2027/0227,1,652157.99,2026-05-01,Release
MPLADS/UT/2024-2025/0228,1,173706.49,2024-10-05,Release
MPLADS/UT/2024-2025/0228,2,156369.89,2025-03-22 00:00:00,Release
MPLADS/UT/2024-2025/0228,3,238055.92,2025-07-21 00:00:00,Release
MPLADS/KA/2026-2027/0229,1,637209.68,2026-03-15,Release
MPLADS/KA/2026-2027/0229,2,681742.52,2026-07-19,Release
MPLADS/KA/2026-2027/0229,3,567398.76,2027-01-14,Release
MPLADS/KA/2026-2027/0229,4,396093.18,2027-05-31,Release
MPLADS/TA/2026-2027/0230,1,279341.25,2026-05-05,Release
MPLADS/TA/2026-2027/0230,2,307896.09,2026-08-18,Release
MPLADS/MA/2025-2026/0231,1,65744.62,2025-07-27,Release
MPLADS/MA/2025-2026/0231,2,73133.79,2025-12-30,Release
MPLADS/MA/2025-2026/0231,3,69785.88,2026-05-18,Release
MPLADS/MA/2025-2026/0231,4,51131.24,2026-09-20,Release
MPLADS/MA/2025-2026/0232,1,1286997.07,2025-07-24,Release
MPLADS/MA/2025-2026/0232,2,879958.28,2025-12-17,Release
MPLADS/UT/2024-2025/0233,1,1122110.36,2025-01-10,Release
MPLADS/UT/2024-2025/0233,2,1006999.16,2025-04-17,Release
MPLADS/UT/2024-2025/0233,3,767702.99,2025-10-05,Release
MPLADS/TA/2025-2026/0234,1,230682.1,2025-02-26,Release
MPLADS/TA/2025-2026/0234,2,299432.33,2025-07-06,Release
MPLADS/TA/2025-2026/0234,3,221669.09,2025-12-27,Release
MPLADS/MA/2025-2026/0235,1,2299626.52,2025-05-22,Release
MPLADS/MA/2024-2025/0236,1,768348.97,2024-04-27,Release
MPLADS/MA/2024-2025/0236,2,533273.87,2024-09-19,Release
MPLADS/MA/2025-2026/0237,1,63754.86,2025-12-26,Release
MPLADS/MA/2025-2026/0237,2,71341.85,2026-04-13,Release
MPLADS/MA/2025-2026/0237,3,48763.49,2026-09-12,Release
MPLADS/MA/2025-2026/0238,1,161631.56,2025-11-24,Release
MPLADS/MA/2025-2026/0238,2,193351.79,2026-03-07,Release
MPLADS/MA/2025-2026/0238,3,174152.02,2026-08-09,Release
MPLADS/MA/2023-2024/0239,1,254432.72,2023-10-31,Release
MPLADS/MA/2023-2024/0239,2,232762.41,2024-02-22,Release
MPLADS/MA/2023-2024/0239,3,265385.37,2024-07-17,Release
MPLADS/UT/2024-2025/0240,1,1175641.34,2024-11-27,Release
MPLADS/UT/2024-2025/0240,2,1440265.74,2025-03-04,Release
MPLADS/UT/2024-2025/0240,3,1090104.68,2025-06-30,Release
MPLADS/UT/2024-2025/0240,4,1370321.53,2025-12-02,Release
MPLADS/MA/2026-2027/0241,1,593466.72,2026-09-03,Release
MPLADS/MA/2026-2027/0241,2,719374.89,2027-01-31,Release
MPLADS/MA/2026-2027/0241,3,697310.9,2027-04-28,Release
MPLADS/MA/2026-2027/0241,4,784652.18,2027-08-14,Release
MPLADS/MA/2025-2026/0242,1,739661.77,2025-07-11,Release
MPLADS/MA/2025-2026/0242,2,952531.28,2026-01-05,Release
MPLADS/MA/2025-2026/0242,3,800968.49,2026-05-07,Release
MPLADS/TA/2025-2026/0243,1,324758.45,2025-08-08,Release
MPLADS/TA/2025-2026/0243,2,366715.09,2025-10-16,Release
MPLADS/UT/2024-2025/0244,1,632430.42,2024-02-28,Release
MPLADS/UT/2024-2025/0244,2,593027.68,2024-08-14,Release
MPLADS/UT/2023-2024/0245,1,167891.53,2023-12-23,Release
MPLADS/UT/2023-2024/0245,2,200673.13,2024-05-25,Release
MPLADS/UT/2023-2024/0245,3,194954.28,2024-11-10,Release
MPLADS/UT/2023-2024/0245,4,193384.56,2025-04-28,Release
MPLADS/MA/2026-2027/0246,1,813399.04,2026-08-03,Release
MPLADS/UT/2025-2026/0247,1,2206769.71,2026-01-12,Release
MPLADS/UT/2025-2026/0247,2,2352347.14,2026-04-04,Release
MPLADS/UT/2025-2026/0247,3,2091449.99,2026-08-30,Release
MPLADS/MA/2024-2025/0248,1,113350.38,2024-10-03,Release
MPLADS/MA/2024-2025/0248,2,140263.23,2024-12-17,Release
MPLADS/MA/2024-2025/0248,3,168998.65,2025-04-21,Release
MPLADS/MA/2024-2025/0249,1,634366.3,2024-02-18,Release
MPLADS/MA/2024-2025/0249,2,588919.28,2024-07-09,Release
MPLADS/UT/2026-2027/0250,1,196429.74,2026-04-18,Release
MPLADS/UT/2026-2027/0250,2,230762.71,2026-09-25,Release
MPLADS/UT/2026-2027/0250,3,232809.86,2027-01-29,Release
MPLADS/UT/2026-2027/0250,4,160575.94,2027-07-12,Release
MPLADS/KA/2024-2025/0251,1,124880.58,2024-01-27,Release
MPLADS/KA/2024-2025/0251,2,132577.48,2024-03-21 00:00:00,Release
MPLADS/KA/2024-2025/0251,3,172189.27,2024-08-11 00:00:00,Release
MPLADS/MA/2024-2025/0252,1,523653.61,2024-11-28,Release
MPLADS/MA/2024-2025/0252,2,485895.54,2025-03-31 00:00:00,Release
MPLADS/MA/2024-2025/0252,3,611300.57,2025-09-22 00:00:00,Release
MPLADS/MA/2023-2024/0253,1,781967.1,2023-12-06,Release
MPLADS/MA/2023-2024/0253,2,629795.73,2024-05-02,Release
MPLADS/MA/2023-2024/0253,3,838569.44,2024-03-19 00:00:00,Release
MPLADS/TA/2026-2027/0254,1,907837.35,2026-07-31,Release
MPLADS/UT/2025-2026/0255,1,272340.74,2025-12-06,Release
MPLADS/UT/2025-2026/0255,2,381301.9,2026-03-30,Release
MPLADS/MA/2026-2027/0256,1,614363.33,2026-05-01,Release
MPLADS/MA/2026-2027/0256,2,624261.27,2026-09-03,Release
MPLADS/MA/2026-2027/0256,3,558710.88,2026-11-21,Release
MPLADS/MA/2026-2027/0257,1,1816662.48,2026-09-17,Release
MPLADS/MA/2024-2025/0258,1,467255.79,2024-02-25,Release
MPLADS/MA/2024-2025/0258,2,695151.08,2024-05-23,Release
MPLADS/UT/2024-2025/0259,1,429954.84,2024-05-12,Release
MPLADS/UT/2024-2025/0259,2,420107.67,2024-10-29,Release
MPLADS/MA/2024-2025/0260,1,254768.24,2024-05-24,Release
MPLADS/MA/2024-2025/0260,2,174423.5,2024-10-07,Release
MPLADS/MA/2025-2026/0261,1,77595.66,2025-09-11,Release
MPLADS/MA/2025-2026/0261,2,95198.57,2025-11-16,Release
MPLADS/MA/2025-2026/0261,3,71853.2,2026-03-03,Release
MPLADS/UT/2024-2025/0262,1,758973.86,2024-06-19,Release
MPLADS/UT/2024-2025/0262,2,908497.35,2024-12-16,Release
MPLADS/UT/2026-2027/0263,1,89237.58,2026-01-25,Release
MPLADS/UT/2026-2027/0263,2,80114.47,2026-04-25,Release
MPLADS/KA/2025-2026/0264,1,1434952.66,2025-03-09,Release
MPLADS/KA/2025-2026/0264,2,1264725.37,2025-08-09,Release
MPLADS/KA/2025-2026/0264,3,1740180.74,2026-01-03,Release
MPLADS/MA/2025-2026/0265,1,497314.69,2025-02-11,Release
MPLADS/MA/2025-2026/0265,2,458993.06,2025-07-10,Release
MPLADS/MA/2025-2026/0265,3,402021.66,2025-12-11,Release
MPLADS/MA/2025-2026/0266,1,138109.63,2025-11-06,Release
MPLADS/MA/2025-2026/0266,2,128748.88,2026-04-27,Release
MPLADS/MA/2025-2026/0266,3,82532.87,2026-07-18,Release
MPLADS/MA/2026-2027/0267,1,1469320.15,2026-06-19,Release
MPLADS/MA/2026-2027/0267,2,1672994.15,2026-12-02,Release
MPLADS/UT/2026-2027/0268,1,205015.31,2026-02-16,Release
MPLADS/UT/2026-2027/0268,2,223238.09,2026-08-13,Release
MPLADS/MA/2025-2026/0269,1,245550.11,2025-07-03,Release
MPLADS/MA/2025-2026/0269,2,308781.43,2025-10-15,Release
MPLADS/MA/2025-2026/0269,3,246949.94,2026-03-28 00:00:00,Release
MPLADS/TA/2024-2025/0270,1,1198349.75,2024-05-30,Release
MPLADS/TA/2024-2025/0270,2,1464490.21,2024-09-14,Release
MPLADS/UT/2024-2025/0271,1,1096174.88,2024-02-03,Release
MPLADS/UT/2024-2025/0271,2,1232408.38,2024-05-18,Release
MPLADS/MA/2024-2025/0272,1,51173.82,2024-12-14,Release
MPLADS/MA/2024-2025/0272,2,70109.81,2025-04-14,Release
MPLADS/MA/2024-2025/0272,3,56377.54,2025-06-28,Release
MPLADS/TA/2025-2026/0273,1,785390.78,2025-08-11,Release
MPLADS/TA/2025-2026/0273,2,747269.99,2026-02-05,Release
MPLADS/TA/2025-2026/0273,3,511373.95,2026-04-22,Release
MPLADS/KA/2024-2025/0274,1,367711.61,2025-01-25,Release
MPLADS/KA/2024-2025/0274,2,281993.25,2025-06-10,Release
MPLADS/TA/2024-2025/0275,1,479498.16,2024-08-03,Release
MPLADS/TA/2024-2025/0275,2,634320.92,2024-11-02,Release
MPLADS/MA/2025-2026/0276,1,484545.27,2025-04-01,Release
MPLADS/UT/2025-2026/0277,1,352016.82,2025-09-04,Release
MPLADS/UT/2025-2026/0277,2,429392.04,2025-11-27,Release
MPLADS/UT/2025-2026/0277,3,318055.87,2026-04-14,Release
MPLADS/UT/2025-2026/0278,1,364335.88,2025-05-15,Release
MPLADS/UT/2025-2026/0278,2,407274.67,2025-07-20,Release
MPLADS/UT/2025-2026/0278,3,553986.5,2025-10-23,Release
MPLADS/MA/2024-2025/0279,1,598336.91,2024-12-01,Release
MPLADS/MA/2024-2025/0279,2,754156.27,2025-05-26,Release
MPLADS/MA/2024-2025/0280,1,97893.37,2024-02-23,Release
MPLADS/MA/2024-2025/0280,2,104973.33,2024-07-30,Release
MPLADS/MA/2024-2025/0280,3,72223.11,2024-12-31,Release
MPLADS/MA/2025-2026/0281,1,294932.41,2025-09-17,Release
MPLADS/MA/2025-2026/0281,2,243138.4,2025-11-29,Release
MPLADS/MA/2025-2026/0281,3,232930.46,2026-02-12,Release
MPLADS/MA/2025-2026/0281,4,370233.5,2026-08-04,Release
MPLADS/MA/2024-2025/0282,1,2091054.39,2024-04-05,Release
MPLADS/UT/2024-2025/0283,1,1623266.8,2024-03-16,Release
MPLADS/MA/2024-2025/0284,1,237559.04,2024-01-22,Release
MPLADS/MA/2024-2025/0284,2,285849.16,2024-05-28,Release
MPLADS/MA/2024-2025/0284,3,207955.03,2024-07-29,Release
MPLADS/UT/2024-2025/0285,1,1865139.63,2024-08-06,Release
MPLADS/UT/2024-2025/0285,2,1504356.56,2025-01-17,Release
MPLADS/UT/2024-2025/0285,3,1336532.27,2025-07-07,Release
MPLADS/KA/2023-2024/0286,1,52361.59,2023-11-28,Release
MPLADS/KA/2023-2024/0286,2,43380.02,2024-01-27,Release
MPLADS/KA/2023-2024/0286,3,54883.26,2024-03-31 00:00:00,Release
MPLADS/MA/2024-2025/0287,1,384503.57,2024-07-04,Release
MPLADS/UT/2023-2024/0288,1,425202.75,2023-11-15,Release
MPLADS/UT/2023-2024/0288,2,379370.06,2024-04-28,Release
MPLADS/KA/2026-2027/0289,1,255015.62,2026-08-31,Release
MPLADS/KA/2026-2027/0289,2,294150.83,2027-02-21,Release
MPLADS/KA/2026-2027/0289,3,295614.87,2027-04-29,Release
MPLADS/MA/2026-2027/0290,1,196426.84,2026-05-09,Release
MPLADS/MA/2026-2027/0290,2,227518.08,2026-10-15,Release
MPLADS/MA/2026-2027/0290,3,156652.49,2027-03-16,Release
MPLADS/TA/2024-2025/0291,1,303899.1,2024-02-20,Release
MPLADS/TA/2024-2025/0291,2,367113.15,2024-07-09,Release
MPLADS/TA/2024-2025/0291,3,309618.27,2024-09-26,Release
MPLADS/MA/2025-2026/0292,1,525955.72,2025-11-12,Release
MPLADS/UT/2026-2027/0293,1,681120.5,2026-01-28,Release
MPLADS/UT/2026-2027/0293,2,586143.23,2026-04-16,Release
MPLADS/UT/2026-2027/0294,1,4872357.86,2026-05-29,Release
MPLADS/KA/2026-2027/0295,1,322377.64,2026-03-15 00:00:00,Release
MPLADS/MA/2024-2025/0296,1,468063.48,2024-08-07,Release
MPLADS/UT/2025-2026/0297,1,304654.66,2026-03-24 00:00:00,Release
MPLADS/UT/2025-2026/0297,2,378562.3,2026-06-05 00:00:00,Release
MPLADS/UT/2025-2026/0297,3,301640.46,2026-08-22 00:00:00,Release
MPLADS/UT/2025-2026/0297,4,522432.66,2026-11-19 00:00:00,Release
MPLADS/KA/2024-2025/0298,1,350730.66,2024-02-19,Release
MPLADS/KA/2024-2025/0298,2,270518.7,2024-05-10,Release
MPLADS/TA/2024-2025/0299,1,638971.19,2024-11-28,Release
MPLADS/TA/2024-2025/0299,2,453915.11,2025-03-19 00:00:00,Release
MPLADS/TA/2024-2025/0300,1,1027573.31,2024-09-24,Release
MPLADS/TA/2024-2025/0300,2,823670.01,2025-03-15,Release
MPLADS/TA/2024-2025/0300,3,1084950.81,2025-08-06,Release
MPLADS/MA/2024-2025/0301,1,754078.77,2024-06-08,Release
MPLADS/UT/2024-2025/0302,1,259548.95,2024-11-01,Release
MPLADS/UT/2024-2025/0302,2,216389.39,2025-02-10,Release
MPLADS/KA/2026-2027/0303,1,1358569.61,2026-03-24,Release
MPLADS/KA/2026-2027/0303,2,1367509.61,2026-09-20,Release
MPLADS/KA/2026-2027/0303,3,1138464.48,2027-01-11,Release
MPLADS/KA/2025-2026/0304,1,226941.84,2025-08-04,Release
MPLADS/KA/2025-2026/0304,2,263435.9,2025-12-30,Release
MPLADS/KA/2025-2026/0304,3,212419.83,2026-03-11,Release
MPLADS/MA/2024-2025/0305,1,781405.8,2024-07-16,Release
MPLADS/UT/2025-2026/0306,1,266127.5,2025-02-06,Release
MPLADS/UT/2025-2026/0306,2,350022.32,2025-07-05,Release
MPLADS/UT/2025-2026/0306,3,354709.45,2025-09-06,Release
MPLADS/TA/2024-2025/0307,1,1018945.54,2024-06-18,Release
MPLADS/TA/2024-2025/0307,2,1431628.85,2024-10-28,Release
MPLADS/UT/2024-2025/0308,1,201635.1,2024-03-16,Release
MPLADS/UT/2024-2025/0308,2,221144.12,2024-03-18 00:00:00,Release
MPLADS/UT/2024-2025/0308,3,172243.25,2024-06-05 00:00:00,Release
MPLADS/UT/2024-2025/0308,4,241109.48,2024-10-20 00:00:00,Release
MPLADS/MA/2024-2025/0309,1,1586266.35,2025-01-07,Release
MPLADS/MA/2024-2025/0309,2,1338905.87,2025-05-20,Release
MPLADS/TA/2026-2027/0310,1,469374.74,2026-08-20,Release
MPLADS/TA/2026-2027/0310,2,507662.69,2026-11-16,Release
MPLADS/TA/2026-2027/0310,3,552818.9,2027-03-27,Release
MPLADS/TA/2026-2027/0310,4,592221.21,2027-08-22,Release
MPLADS/MA/2024-2025/0311,1,302222.39,2024-11-27,Release
MPLADS/MA/2024-2025/0311,2,259035.81,2025-02-08,Release
MPLADS/MA/2024-2025/0311,3,373750.24,2025-07-26,Release
MPLADS/KA/2024-2025/0312,1,15910568.24,2024-03-12,Release
MPLADS/MA/2025-2026/0313,1,365060.85,2025-03-17 00:00:00,Release
MPLADS/MA/2025-2026/0313,2,339310.28,2025-09-13 00:00:00,Release
MPLADS/MA/2025-2026/0313,3,335459.1,2026-02-16 00:00:00,Release
MPLADS/MA/2025-2026/0313,4,429933.11,2026-05-11 00:00:00,Release
MPLADS/MA/2023-2024/0314,1,1157603.81,2023-10-25,Release
MPLADS/MA/2023-2024/0314,2,1171795.46,2024-03-27 00:00:00,Release
MPLADS/MA/2023-2024/0314,3,837546.8,2024-07-26 00:00:00,Release
MPLADS/TA/2024-2025/0315,1,1271447.72,2024-08-30,Release
MPLADS/TA/2024-2025/0315,2,932557.98,2025-01-20,Release
MPLADS/UT/2026-2027/0316,1,173219.24,2026-06-23,Release
MPLADS/UT/2026-2027/0316,2,146340.42,2026-09-07,Release
MPLADS/UT/2026-2027/0316,3,183949.41,2027-03-27 00:00:00,Release
MPLADS/UT/2026-2027/0316,4,122139.17,2027-06-25 00:00:00,Release
MPLADS/KA/2025-2026/0317,1,204806.92,2025-08-06,Release
MPLADS/KA/2025-2026/0317,2,258901.33,2025-11-13,Release
MPLADS/KA/2025-2026/0317,3,294273.35,2026-04-22,Release
MPLADS/KA/2025-2026/0317,4,258459.31,2026-08-18,Release
MPLADS/TA/2024-2025/0318,1,457713.23,2024-02-24,Release
MPLADS/TA/2024-2025/0318,2,592479.77,2024-05-27,Release
MPLADS/UT/2025-2026/0319,1,4940234.08,2025-03-27,Release
MPLADS/TA/2026-2027/0320,1,311629.4,2026-03-21,Release
MPLADS/TA/2026-2027/0320,2,371980.16,2026-03-16 00:00:00,Release
MPLADS/TA/2026-2027/0320,3,249061.7,2026-08-17 00:00:00,Release
MPLADS/MA/2024-2025/0321,1,123001.01,2024-05-11,Release
MPLADS/MA/2024-2025/0321,2,173675.97,2024-09-07,Release
MPLADS/MA/2024-2025/0322,1,754052.73,2024-08-01,Release
MPLADS/KA/2025-2026/0323,1,629048.03,2025-12-10,Release
MPLADS/KA/2025-2026/0323,2,534868.19,2026-03-15,Release
MPLADS/MA/2023-2024/0324,1,400626.26,2023-11-16,Release
MPLADS/MA/2023-2024/0324,2,469511.31,2024-03-01,Release
MPLADS/MA/2023-2024/0324,3,392189.08,2024-05-27,Release
MPLADS/MA/2025-2026/0325,1,171602.43,2026-01-05,Release
MPLADS/MA/2025-2026/0325,2,171447.41,2026-04-26,Release
MPLADS/MA/2025-2026/0325,3,274642.42,2026-08-21,Release
MPLADS/MA/2024-2025/0326,1,168160.63,2024-08-09,Release
MPLADS/MA/2026-2027/0327,1,1818474.78,2026-04-14,Release
MPLADS/MA/2026-2027/0328,1,345673.91,2026-10-04,Release
MPLADS/MA/2026-2027/0328,2,327022.66,2027-03-08,Release
MPLADS/MA/2026-2027/0328,3,195432.99,2027-05-08,Release
MPLADS/UT/2024-2025/0329,1,551022.65,2024-04-04,Release
MPLADS/UT/2024-2025/0329,2,391976.17,2024-09-20,Release
MPLADS/UT/2024-2025/0329,3,439979.72,2025-02-01,Release
MPLADS/TA/2025-2026/0330,1,1559501.44,2025-12-17,Release
MPLADS/TA/2025-2026/0330,2,1081593.35,2026-04-29,Release
MPLADS/MA/2025-2026/0331,1,311606.21,2026-01-11,Release
MPLADS/MA/2025-2026/0331,2,265588.3,2026-05-09,Release
MPLADS/TA/2026-2027/0332,1,239936.83,2026-07-30,Release
MPLADS/TA/2026-2027/0332,2,265593.19,2026-10-18,Release
MPLADS/MA/2025-2026/0333,1,369543.74,2025-03-07,Release
