unique_work_number,work_name,work_description,work_category,state,implementing_district,nodal_district,constituency,house_name,mp_name,implementing_agency_name,sanction_amount,actual_expenditure,released_amount,recommendation_date,administrative_approval_date,sanction_date,commencement_date,completion_date,work_status,financial_year,image_uploaded
MPLADS/KA/2024-2025/0074,Construction of Health Center in Mysore,Dolorum iusto magnam voluptatum ducimus. Autem laborum minus quod omnis aut ipsum.,Health Center,Karnataka,Mysore,Mysore,Mysore East,Rajya Sabha,Oviya Deep,Municipal Corporation,3564643.66,1211508.08,2105960.7544841184,2024-11-04,2024-11-28,2024-12-02,2024-12-14,,Ongoing,2024-2025,No
MPLADS/KA/2026-2027/0075,Construction of School Building in Hubli,Voluptas repellat praesentium sequi nobis soluta qui. Vitae a sequi modi.,School Building,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Yash Subramaniam,PWD,200000.0,163542.51,166859.92230634906,2026-06-11,2026-06-20,2026-06-25,2026-07-26,2027-05-14,Completed,2026-2027,No
MPLADS/UT/2023-2024/0076,Construction of School Building in Kanpur,Fuga atque similique. Quisquam excepturi quidem nihil. Dolorum quidem saepe quas eius quo.,School Building,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Rajya Sabha,Jagdish Guha,Zila Parishad,4232853.76,1681739.04,2777989.8342511584,2023-10-06,2023-10-22,2023-10-26,2023-12-16,,Ongoing,2023-2024,No
MPLADS/TA/2024-2025/0077,Construction of Street Light in Madurai,Nesciunt eum recusandae molestiae.,Street Light,Tamil Nadu,Madurai,Madurai,Madurai East,Lok Sabha,Jhalak Nagarajan,PWD,517409.41,400038.44,415066.9213708581,2024-06-18,2024-10-23,2024-10-26,2024-11-19,2025-05-25,Completed,2024-2025,Yes
MPLADS/TA/2023-2024/0078,Construction of Roads in Chennai,Error est eaque eos assumenda placeat non. Molestiae ab fugit quod voluptas doloremque.,Roads,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Qarin Sandal,PWD,1260794.12,717469.96,1144897.0355929707,2023-10-04,2023-10-19,2023-10-23,2023-11-11,,Ongoing,2023-2024,No
MPLADS/UT/2025-2026/0079,Construction of Community Hall in Lucknow,Error nulla temporibus. Veniam quod numquam odit.,Community Hall,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Rajya Sabha,Zilmil Soman,Block Development Office,2610112.93,1187801.15,1544145.7292535203,2025-07-15,2025-08-09,2025-08-13,2025-09-29,,Ongoing,2025-2026,No
MPLADS/KA/2024-2025/0080,Construction of Roads in Mysore,Reprehenderit dolor accusamus illum. Consectetur repellat error.,Roads,Karnataka,Mysore,Mysore,Mysore East,Rajya Sabha,Wakeeta Choudhry,Block Development Office,200000.0,73849.38,117272.44103322456,2024-04-05,2024-05-08,2024-05-13,2024-06-02,,Ongoing,2024-2025,No
MPLADS/KA/2025-2026/0081,Construction of Drinking Water in Hubli,Et dicta assumenda labore temporibus.,Drinking Water,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Chaman Venkatesh,Zila Parishad,890164.06,354366.59,508916.86962942884,2025-09-22,2025-10-04,2025-10-08,2025-10-24,,Ongoing,2025-2026,No
MPLADS/TA/2025-2026/0082,Construction of Park in Chennai,Nulla similique commodi illum fuga omnis. Sapiente natus similique.,Park,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Daksha Sundaram,Gram Panchayat,942845.03,1347258.96,1361311.335006671,2024-12-16,2025-01-21,2025-01-22,2025-03-11,2025-12-01,Completed,2025-2026,Yes
MPLADS/TA/2025-2026/0083,Construction of Health Center in Chennai,Quia ex cum assumenda eum cum. Ut accusantium odio molestias rerum modi.,Health Center,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Atharv Nigam,State Housing Board,3477894.04,1636869.52,2360108.538911434,2025-06-16,2025-07-18,2025-07-20,2025-09-08,,Ongoing,2025-2026,No
MPLADS/TA/2024-2025/0084,Construction of Roads in Coimbatore,Perferendis excepturi voluptatum ducimus ullam. Officia officia veritatis earum enim sequi.,Roads,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Rajya Sabha,Reyansh Iyer,State Housing Board,1085383.83,553355.04,835658.2753475314,2024-08-31,2024-11-23,2024-11-26,2025-01-22,,Ongoing,2024-2025,No
MPLADS/MA/2025-2026/0085,Construction of Drinking Water in Jabalpur,Sit nobis voluptatum placeat. Quam quibusdam debitis eius non doloremque autem.,Drinking Water,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Lok Sabha,Yash Vora,Zila Parishad,595753.2,322682.76,356322.23689495557,2024-12-16,2025-01-20,2025-01-24,2025-02-21,2025-07-29,Completed,2025-2026,Yes
MPLADS/UT/2024-2025/0086,Construction of Park in Varanasi,Ex sequi sit eius officia qui adipisci possimus. Consequuntur velit maiores delectus.,Park,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Liam Kari,Gram Panchayat,599297.18,422395.87,555500.4823114707,2024-07-07,2024-10-14,2024-10-15,2024-11-10,,Ongoing,2024-2025,No
MPLADS/MA/2025-2026/0087,Construction of Drainage in Indore,Quaerat atque minima ut dolore asperiores. Iste repudiandae ex earum hic.,Drainage,Madhya Pradesh,Indore,Indore,Indore East,Rajya Sabha,Zaitra Chauhan,Municipal Corporation,1749241.27,498414.2,1382650.8787056224,2024-12-07,2025-04-04,2025-04-07,2025-05-26,,Ongoing,2025-2026,No
MPLADS/TA/2026-2027/0088,Construction of Park in Madurai,Maiores nulla laudantium asperiores accusamus iste consequuntur.,Park,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Rajeshri Puri,PWD,931500.44,609523.04,867522.7777547296,2025-11-28,2026-03-20,2026-03-21,2026-04-06,,Ongoing,2026-2027,No
MPLADS/KA/2024-2025/0089,Construction of Library in Mysore,Illo tempora quos quas. Numquam corrupti doloribus iure incidunt exercitationem consequuntur.,Library,Karnataka,Mysore,Mysore,Mysore East,Rajya Sabha,Quincy Bansal,State Housing Board,1429167.86,534464.74,772626.2204721088,2024-06-19,2024-07-18,2024-07-22,2024-09-11,,Ongoing,2024-2025,No
MPLADS/TA/2025-2026/0090,Construction of Drainage in Chennai,Ab ex hic rerum quas at. Necessitatibus sequi quisquam eos. Amet culpa aut sed.,Drainage,Tamil Nadu,Chennai,Chennai,Chennai East,Rajya Sabha,Ekalinga Raman,Block Development Office,1507960.46,1025274.89,1392183.6879028117,2025-06-24,2025-07-31,2025-08-03,2025-08-19,,Delayed,2025-2026,No
MPLADS/MA/2024-2025/0091,Construction of Drinking Water in Nagpur,Sed maiores occaecati iste nihil delectus ipsam officiis.,Drinking Water,Maharashtra,Nagpur,Nagpur,Nagpur East,Lok Sabha,Ira Tata,PWD,1048538.77,807160.07,853842.9292086439,2024-03-14,2024-04-19,2024-04-23,2024-05-08,2025-01-12,Completed,2024-2025,Yes
MPLADS/UT/2025-2026/0092,Construction of Temple near Health Center in Lucknow,Hic aut ipsam quaerat.,Health Center,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Jagdish Chandran,Gram Panchayat,2968644.99,2180733.15,2341419.6725831977,2025-07-06,2025-07-20,2025-07-22,2025-08-22,2026-05-19,Completed,2025-2026,Yes
MPLADS/UT/2025-2026/0093,Construction of Roads in Lucknow,Voluptatibus cupiditate ab perferendis.,Roads,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Akshay Sane,Zila Parishad,938357.52,530850.82,574576.5823882783,2025-02-05,2025-03-07,2025-03-12,2025-04-11,,Ongoing,2025-2026,No
MPLADS/KA/2024-2025/0094,Construction of Community Hall in Hubli,Facere eos nobis a error consequuntur a.,Community Hall,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Bhavini Kari,Block Development Office,2106805.42,899083.17,1506923.0536617762,2024-01-19,2024-02-07,2024-02-12,2024-03-30,,Ongoing,2024-2025,No
MPLADS/MA/2026-2027/0095,Construction of Street Light in Indore,Dolore ratione eaque porro tenetur dolor quaerat. Ut a laborum.,Street Light,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Manan Shroff,PWD,421578.37,249622.44,253376.6989180522,2026-09-04,2026-09-11,2026-09-15,2026-10-22,2027-04-28,Completed,2026-2027,Yes
MPLADS/UT/2025-2026/0096,Construction of School Building in Lucknow,Voluptatum nobis non placeat dolorum. Tempore rem provident explicabo ab.,School Building,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Rajya Sabha,Hitesh Rastogi,State Housing Board,804727.58,428864.86,557681.4562658784,2025-02-25,2025-03-22,2025-03-25,2025-04-28,,Delayed,2025-2026,No
MPLADS/MA/2025-2026/0097,Construction of Park in Jabalpur,Ipsa iste nemo magnam qui voluptas molestias. Impedit repellat alias atque iusto.,Park,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Rajya Sabha,Warhi Chauhan,State Housing Board,918448.11,688545.87,754141.1141783438,2025-10-06,2025-10-14,2025-10-19,2025-12-14,2026-05-17,Completed,2025-2026,Yes
MPLADS/KA/2023-2024/0098,Construction of Community Hall in Mysore,Accusamus fugit nam vero eveniet. Architecto ratione voluptatibus accusantium dolorem mollitia.,Community Hall,Karnataka,Mysore,Mysore,Mysore East,Lok Sabha,Zayan Vasa,Zila Parishad,2813266.33,1163129.27,1679533.9782132488,2023-11-19,2023-12-18,2023-12-20,2024-02-11,,Delayed,2023-2024,No
MPLADS/MA/2025-2026/0099,Construction of Community Hall in Nagpur,Error non laborum vel laboriosam repellendus doloremque. Ipsum explicabo quibusdam harum.,Community Hall,Maharashtra,Nagpur,Nagpur,Nagpur East,Lok Sabha,Rajata Saran,Zila Parishad,2506136.15,921476.26,1518639.642377732,2025-08-21,2025-09-24,2025-09-25,2025-11-11,,Delayed,2025-2026,No
MPLADS/KA/2024-2025/0100,Construction of Park in Mysore,"Autem reiciendis occaecati laborum tenetur.
Earum accusantium repellat.
Quisquam consequuntur fuga.",Park,Karnataka,Mysore,Mysore,Mysore East,Lok Sabha,Adweta Chopra,State Housing Board,706165.15,593029.72,579762.4193606107,2024-10-06,2024-10-12,2024-10-17,2024-11-15,,Ongoing,2024-2025,No
MPLADS/UT/2025-2026/0101,Construction of Street Light in Varanasi,Voluptatibus rerum adipisci vitae.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Thomas Parekh,PWD,216925.85,258812.45,260628.3289662001,2025-05-05,2025-05-23,2025-05-26,2025-06-12,2026-01-27,Completed,2025-2026,Yes
MPLADS/TA/2025-2026/0102,Construction of School Building in Chennai,Sequi nisi ipsa mollitia. Exercitationem optio nemo inventore. Nisi quam esse cupiditate minus.,School Building,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Pooja Borra,Zila Parishad,2369032.02,1247805.74,1280086.531785193,2025-01-10,2025-02-17,2025-02-18,2025-03-11,2025-10-20,Completed,2025-2026,No
MPLADS/MA/2024-2025/0103,Construction of Park in Bhopal,Nam rem esse sapiente minus molestiae. Laudantium pariatur modi vero voluptate facere.,Park,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Lok Sabha,Brinda Dhillon,Zila Parishad,662914.19,478176.33,600770.4291061113,2024-03-12,2024-03-24,2024-03-27,2024-05-25,,Delayed,2024-2025,No
MPLADS/UT/2026-2027/0104,Construction of Roads in Lucknow,Vero repellendus suscipit est unde.,Roads,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Pranav Lala,Zila Parishad,858178.18,402211.17,674951.5489183079,2026-02-19,2026-03-11,2026-03-15,2026-05-02,,Ongoing,2026-2027,No
MPLADS/TA/2024-2025/0105,Construction of Community Hall in Coimbatore,Quae voluptate veniam dolore soluta dolorum. Hic quasi natus.,Community Hall,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Lok Sabha,Vidhi Parikh,State Housing Board,2306457.15,747443.73,1656819.9251880776,2024-07-04,2024-07-29,2024-08-01,2024-08-13,,Ongoing,2024-2025,No
MPLADS/MA/2026-2027/0106,Construction of Drinking Water in Pune,Adipisci harum aut minus minima. Qui tempora nisi numquam rerum.,Drinking Water,Maharashtra,Pune,Pune,Pune East,Lok Sabha,Vyanjana Dyal,Municipal Corporation,1202025.43,452244.81,916660.1766070259,2025-12-05,2026-01-05,2026-01-08,2026-01-25,,Ongoing,2026-2027,No
MPLADS/UT/2025-2026/0107,Construction of Library in Kanpur,Quis quis expedita nihil sed perferendis. Sapiente omnis magnam.,Library,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Rajya Sabha,Tristan Mand,Gram Panchayat,3120330.13,410307.15,2084696.4269437368,2025-09-25,2025-10-19,2025-10-22,2025-11-05,,Ongoing,2025-2026,No
MPLADS/MA/2025-2026/0108,Construction of Community Hall in Nagpur,Optio optio hic harum.,Community Hall,Maharashtra,Nagpur,Nagpur,Nagpur East,Rajya Sabha,Aarna Saini,Gram Panchayat,2709493.38,1332833.82,1908363.8755945442,2025-07-25,2025-08-13,2025-08-17,2025-09-14,,Ongoing,2025-2026,No
MPLADS/UT/2024-2025/0109,Construction of Street Light in Varanasi,Voluptatum tempora voluptatibus vero odio exercitationem quibusdam.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Radhika Setty,Zila Parishad,551510.08,360904.61,435494.316595471,2024-11-25,2024-12-06,2024-12-07,2025-01-01,,Ongoing,2024-2025,No
MPLADS/KA/2024-2025/0110,Construction of Drainage in Mysore,Hic odit occaecati quis. Ab magnam et iusto exercitationem. Nesciunt alias consequuntur ipsam.,Drainage,Karnataka,Mysore,Mysore,Mysore East,Rajya Sabha,Ekansh Bala,Municipal Corporation,1155332.45,172803.87,702483.7906213065,2024-04-13,2024-04-24,2024-04-25,2024-06-07,,Ongoing,2024-2025,No
MPLADS/TA/2025-2026/0111,Construction of School Building in Madurai,Velit excepturi magni vel iste. Quibusdam sit ipsam minus aut at consectetur.,School Building,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Daksha Devan,Municipal Corporation,200000.0,162011.94,172571.78763265148,2024-12-18,2024-12-31,2025-01-05,2025-01-24,2027-03-11,Completed,2025-2026,Yes
MPLADS/MA/2024-2025/0112,Construction of Drainage in Indore,Eaque in expedita. Debitis dolores a veritatis exercitationem quibusdam.,Drainage,Madhya Pradesh,Indore,Indore,Indore East,Rajya Sabha,Anirudh Arora,State Housing Board,1184091.67,277906.81,817475.2925541805,2024-10-17,2024-11-05,2024-11-06,2024-12-16,,Ongoing,2024-2025,No
MPLADS/MA/2026-2027/0113,Construction of Drainage in Bhopal,Inventore quaerat ipsum quos asperiores ipsa. Distinctio accusantium libero sed nemo dolorum.,Drainage,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Lok Sabha,Isaac Muni,Zila Parishad,1236138.13,823277.64,909927.461576102,2026-04-14,2026-05-07,2026-05-08,2026-06-10,2026-09-04,Completed,2026-2027,Yes
MPLADS/MA/2026-2027/0114,Construction of Street Light in Indore,Ex tenetur aliquid ut nulla deleniti.,Street Light,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Hiral Joshi,State Housing Board,992648.42,503837.01,544402.6172153812,2025-11-04,2026-03-05,2026-03-07,2026-04-06,2026-10-21,Completed,2026-2027,Yes
MPLADS/TA/2026-2027/0115,Construction of Community Hall in Madurai,Ipsum aliquam molestias suscipit deleniti aspernatur. Esse voluptates quam quos animi odit.,Community Hall,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Orinder Khare,Municipal Corporation,2269166.84,879627.49,1250925.8071338236,2026-01-24,2026-01-31,2026-02-04,2026-03-14,,Ongoing,2026-2027,No
MPLADS/TA/2026-2027/0116,Construction of Park in Coimbatore,Necessitatibus alias dicta dolorum. Repellat laboriosam maiores cupiditate laudantium sunt.,Park,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Rajya Sabha,Mohammed Jha,Zila Parishad,920618.94,51525.47,537858.9849966322,2026-09-03,2026-10-01,2026-10-04,2026-10-18,,Ongoing,2026-2027,No
MPLADS/TA/2026-2027/0117,Construction of School Building in Coimbatore,Et suscipit eius asperiores beatae facilis consequuntur. Ipsa dolore ex nemo itaque ad.,School Building,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Rajya Sabha,Rachit Ravi,Gram Panchayat,2947932.35,1397308.81,2106898.875010371,2026-06-19,2026-07-17,2026-07-20,2026-08-18,,Delayed,2026-2027,No
MPLADS/UT/2024-2025/0118,Construction of Community Hall in Varanasi,Nobis officiis pariatur.,Community Hall,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Orinder Ramesh,Block Development Office,1097586.35,813846.34,889920.8519682593,2024-03-06,2024-04-03,2024-04-05,2024-05-27,2025-03-13,Completed,2024-2025,Yes
MPLADS/KA/2025-2026/0119,Construction of Drainage in Hubli,Excepturi beatae rerum. Commodi sint ad repellat ducimus ducimus.,Drainage,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Yutika Kant,Municipal Corporation,5587874.424061838,1573209.14,4951891.675440672,2025-01-09,2025-01-25,2025-01-29,2025-02-20,,Ongoing,2025-2026,No
MPLADS/TA/2025-2026/0120,Construction of Library in Chennai,Consequuntur voluptates placeat nam a.,Library,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Falguni Mane,State Housing Board,2326353.12,1149762.18,1183724.0748744034,2025-10-14,2025-11-18,2025-11-21,2026-01-19,2026-07-31,Completed,2025-2026,Yes
MPLADS/MA/2025-2026/0121,Construction of Drainage in Nagpur,Adipisci maxime porro enim. Sequi aut delectus.,Drainage,Maharashtra,Nagpur,Nagpur,Nagpur East,Rajya Sabha,Aachal Desai,Municipal Corporation,1674619.17,818512.14,1273376.3481174388,2025-03-30,2025-04-19,2025-04-23,2025-05-17,,Ongoing,2025-2026,No
MPLADS/UT/2024-2025/0122,Construction of Street Light in Kanpur,Asperiores quasi esse asperiores accusamus. Incidunt eius dignissimos cupiditate qui.,Street Light,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Lok Sabha,Ekansh Nazareth,Zila Parishad,318122.51,115313.46,219473.3706525886,2024-10-05,2024-11-03,2024-11-08,2024-12-14,,Delayed,2024-2025,No
MPLADS/TA/2024-2025/0123,Construction of Street Light in Chennai,Saepe temporibus vitae aliquam facilis harum mollitia. Veniam libero dolor dolor.,Street Light,Tamil Nadu,Chennai,Chennai,Chennai East,Rajya Sabha,Charita Comar,Gram Panchayat,780558.86,284168.92,555100.8312671962,2024-02-20,2024-03-25,2024-03-30,2024-04-16,,Ongoing,2024-2025,No
MPLADS/KA/2025-2026/0124,Construction of School Building in Hubli,Molestias excepturi molestiae itaque. Ex sunt eos ipsam placeat adipisci.,School Building,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Rishi Vig,PWD,897223.41,159524.53,712059.0046111557,2025-02-26,2025-04-03,2025-04-07,2025-05-09,,Delayed,2025-2026,No
MPLADS/MA/2025-2026/0125,Construction of Health Center in Indore,Quas repellat quas eligendi atque. Soluta rem fugit unde.,Health Center,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Jairaj Sha,PWD,2586857.09,1410006.69,1475391.5455232095,2025-01-14,2025-02-01,2025-02-04,2025-02-20,2025-10-28,Completed,2025-2026,Yes
MPLADS/KA/2025-2026/0126,Construction of School Building in Hubli,Illo a unde quod. Id deserunt dignissimos accusantium.,School Building,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Gaurangi Chanda,Block Development Office,6285683.44,3291900.73,4152760.867137139,2025-07-06,2025-07-29,2025-07-30,2025-08-10,,Ongoing,2025-2026,No
MPLADS/MA/2025-2026/0127,Construction of Health Center in Nagpur,Provident unde quam perferendis nesciunt a. Recusandae repellendus earum a sapiente veritatis.,Health Center,Maharashtra,Nagpur,Nagpur,Nagpur East,Rajya Sabha,Unnati Deshpande,PWD,1009463.67,456852.61,621849.7730993548,2025-05-13,2025-05-25,2025-05-30,2025-07-08,,Ongoing,2025-2026,No
MPLADS/MA/2024-2025/0128,Construction of Roads in Jabalpur,Alias officiis tenetur eligendi. Officiis libero fugit rem quis veniam molestias.,Roads,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Rajya Sabha,Finn Ramakrishnan,Gram Panchayat,1046961.82,209943.04,808181.5183442152,2024-04-11,2024-04-25,2024-04-28,2024-06-04,,Ongoing,2024-2025,No
MPLADS/UT/2024-2025/0129,Construction of Community Hall in Varanasi,Officiis est illo cum modi.,Community Hall,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Nirja Vasa,Zila Parishad,2619581.64,1479459.79,1506706.957236818,2023-12-28,2024-01-04,2024-01-09,2024-02-20,2024-08-25,Completed,2024-2025,No
MPLADS/KA/2025-2026/0130,Construction of Drinking Water in Mysore,Architecto ex totam eveniet provident repudiandae. Atque inventore maxime ex fuga qui voluptatibus.,Drinking Water,Karnataka,Mysore,Mysore,Mysore East,Lok Sabha,Samar Pal,Zila Parishad,748262.17,181159.95,700625.1814161108,2025-02-24,2025-05-14,2025-05-15,2025-07-13,,Ongoing,2025-2026,No
MPLADS/MA/2024-2025/0131,Construction of Library in Nagpur,Excepturi saepe laborum nihil quasi. Aspernatur adipisci eveniet sunt. Illum omnis maiores magni.,Library,Maharashtra,Nagpur,Nagpur,Nagpur East,Lok Sabha,Bhavika Prakash,State Housing Board,714535.6,393991.44,490710.0908722154,2024-03-12,2024-03-23,2024-03-27,2024-05-20,,Ongoing,2024-2025,No
MPLADS/MA/2024-2025/0132,Construction of Street Light in Thane,Vel corporis voluptates aut cum quia consectetur. Consequuntur ipsa cum.,Street Light,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Victor Balasubramanian,Municipal Corporation,1439621.2215762197,216641.22,1331193.4361034534,2024-09-17,2024-12-10,2024-12-15,2025-01-19,,Delayed,2024-2025,No
MPLADS/MA/2025-2026/0133,Construction of Health Center in Thane,Harum facere voluptatum ratione magni.,Health Center,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Anirudh Ahuja,PWD,937696.29,517715.75,532544.3958735458,2025-08-27,2025-09-30,2025-10-03,2025-10-20,2026-05-02,Completed,2025-2026,Yes
MPLADS/UT/2024-2025/0134,Construction of Street Light in Kanpur,Officia et beatae cupiditate reprehenderit veritatis laboriosam vel. Facilis rem neque quisquam et.,Street Light,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Lok Sabha,Aarav Sastry,Gram Panchayat,594718.49,514872.14,518684.6826134371,2024-07-07,2024-07-21,2024-07-25,2024-08-09,,Ongoing,2024-2025,No
MPLADS/MA/2025-2026/0135,Construction of Drainage in Indore,Molestias fuga ducimus. Sunt accusamus accusantium ex aut.,Drainage,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Leela Mital,Zila Parishad,648345.46,419797.38,424901.48041927133,2025-03-08,2025-04-04,2025-04-08,2025-05-26,2025-08-28,Completed,2025-2026,Yes
MPLADS/TA/2025-2026/0136,Construction of Park in Madurai,Laudantium quo atque rerum odit sapiente mollitia. Aperiam aliquam sed voluptatibus.,Park,Tamil Nadu,Madurai,Madurai,Madurai East,Lok Sabha,Abdul Sura,PWD,1419973.76,528838.69,846560.7117569727,2025-08-02,2025-08-10,2025-08-14,2025-09-16,,Ongoing,2025-2026,No
MPLADS/MA/2024-2025/0137,Construction of Street Light in Pune,Excepturi consectetur doloribus ullam quibusdam quae. Qui voluptate hic voluptatum quas.,Street Light,Maharashtra,Pune,Pune,Pune East,Rajya Sabha,Aayush Sarna,State Housing Board,893000.1462500333,684863.04,698455.8579507475,2024-11-08,2024-11-24,2024-11-29,2024-12-11,2025-08-29,Completed,2024-2025,Yes
MPLADS/MA/2023-2024/0138,Construction of Library in Bhopal,Minima iusto voluptatem natus. Nemo tenetur nostrum ut dignissimos.,Library,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Lok Sabha,Mason Thaker,Zila Parishad,1574556.94,1314054.34,1420962.8532768916,2023-10-03,2023-11-01,2023-11-02,2023-11-13,2024-06-16,Completed,2023-2024,Yes
MPLADS/TA/2026-2027/0139,Construction of Street Light in Madurai,Quaerat nulla neque facilis velit vitae. In corrupti laboriosam dolor modi facere iure ut.,Street Light,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Bina Morar,Gram Panchayat,662703.44,216517.86,388774.8856278789,2026-07-06,2026-07-21,2026-07-25,2026-08-16,,Ongoing,2026-2027,No
MPLADS/UT/2024-2025/0140,Construction of Street Light in Varanasi,Quo nam vitae non expedita. Inventore fuga esse ad minima.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Warhi Raju,State Housing Board,253827.14,138124.22,194103.582654985,2024-08-27,2024-10-03,2024-10-06,2024-11-27,,Ongoing,2024-2025,No
MPLADS/TA/2024-2025/0141,Construction of School Building in Chennai,Tempora quod impedit. Maxime molestiae rem illo assumenda sed possimus.,School Building,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Yamini Rajagopalan,Gram Panchayat,3341189.9,624242.37,2399455.4163946416,2023-12-31,2024-01-15,2024-01-17,2024-03-17,,Ongoing,2024-2025,No
MPLADS/TA/2026-2027/0142,Construction of Drainage in Madurai,Aperiam voluptate nulla. Nesciunt consequatur autem dolores architecto explicabo.,Drainage,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Pranav Deol,Gram Panchayat,1984285.65,694321.72,1322156.682380413,2026-02-05,2026-02-18,2026-02-19,2026-03-05,,Ongoing,2026-2027,No
MPLADS/MA/2024-2025/0143,Construction of Park in Indore,Aut nostrum perferendis ipsa debitis quasi.,Park,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Ucchal Natt,PWD,200000.0,46008.58,112858.24524456696,2024-04-21,2024-05-04,2024-05-05,2024-06-12,,Ongoing,2024-2025,No
MPLADS/MA/2025-2026/0144,Construction of School Building in Jabalpur,Iste adipisci iusto doloribus. Molestiae non dolorem itaque neque.,School Building,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Lok Sabha,Chatresh Nanda,Municipal Corporation,3276950.79,1218388.36,1641551.1055007477,2025-06-18,2025-07-10,2025-07-11,2025-07-28,,Ongoing,2025-2026,No
MPLADS/TA/2026-2027/0145,Construction of Health Center in Madurai,Officiis occaecati vitae eligendi fugiat deserunt nam et. Ab aliquam saepe quia.,Health Center,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Ayush Mistry,Gram Panchayat,2259882.79,861199.18,1598689.162520607,2026-07-02,2026-08-08,2026-08-09,2026-09-04,,Ongoing,2026-2027,No
MPLADS/UT/2026-2027/0146,Construction of Drinking Water in Varanasi,Repellat eligendi repudiandae tempora sint. Tempore doloribus id in aspernatur voluptatum ipsa.,Drinking Water,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Girik Oommen,PWD,1390911.44,349280.79,869067.6095201136,2026-03-23,2026-04-13,2026-04-18,2026-06-04,,Ongoing,2026-2027,No
MPLADS/MA/2023-2024/0147,Construction of Roads in Bhopal,Earum architecto numquam excepturi voluptatem itaque qui.,Roads,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Lok Sabha,Avi Amble,State Housing Board,510439.43,86444.74,267364.8421513986,2023-11-07,2023-12-09,2023-12-11,2024-02-08,,Ongoing,2023-2024,No
MPLADS/KA/2024-2025/0148,Construction of Library in Hubli,Inventore consectetur numquam consequuntur blanditiis. Beatae adipisci neque sit quis.,Library,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Praneel Banik,Zila Parishad,875680.37,246749.09,471196.22955951595,2024-08-13,2024-09-03,2024-09-07,2024-10-06,,Ongoing,2024-2025,No
